name,secondary_name,has_multiple_locations,group
unknown,,false,Additional Parts
Water Bottle Cage,,false,Additional Parts
Stem,Gooseneck,false,Additional Parts
Bashguard/Chain Guide,,false,Drivetrain
Fairing,,false,Frame and Fork
Lights,,true,Additional Parts
Bell/Noisemaker,,false,Additional Parts
Basket,,true,Cargo
Chain Tensioners,Chain Tugs,false,Drivetrain
Derailleur,,false,Drivetrain
Training Wheels,,false,Wheels
Bottom Bracket,,false,Drivetrain
Brake,,true,Brakes
Hub Guard,,false,Additional Parts
Generator/Dynamo,,true,Wheels
Handlebar,,false,Additional Parts
Wheel,,true,Wheels
Saddle,,false,Additional Parts
Rim,,true,Wheels
Axle Nuts,,true,Wheels
Hub,,true,Wheels
Spokes,,true,Wheels
Tube,,true,Wheels
Tire,,true,Wheels
Brake Lever,,true,Brakes
Shift and Brake Lever,,true,Drivetrain
Brake Rotor,,true,Brakes
Brake Pad,,true,Brakes
Shifter,,true,Drivetrain
Fork,,false,Frame and Fork
Rear Suspension,,false,Frame and Fork
Headset,,false,Frame and Fork
Brake Cable,,false,Brakes
Shift Cable,,false,Drivetrain
Chain,,false,Drivetrain
Chainrings,,false,Drivetrain
Cog/Cassette/Freewheel,,false,Drivetrain
Crankset,,false,Drivetrain
Pedals,,false,Drivetrain
Computer,,false,Additional Parts
Pegs,,true,Additional Parts
Toe Clips,,false,Additional Parts
Grips/Tape,,false,Additional Parts
Seatpost Clamp,,false,Additional Parts
Detangler,,false,Brakes
Kickstand,,false,Additional Parts
Rack,,true,Cargo
Seatpost,,false,Additional Parts
Fender,,true,Additional Parts
Aero Bars/Extensions/Bar Ends,Aero Bars,false,Additional Parts
Ebike Battery,Electric Bike Battery,false,Drivetrain
Ebike Motor,Electric Bike Motor,false,Drivetrain
Pannier,Rack Bag,false,Cargo
Frame Bag,,false,Cargo
Cargo Bike Side Rails,Cargo Bike Monkey Bars,false,Cargo
Handlebar Bag,,false,Cargo
Seat Bag,Saddle Bag,false,Cargo
Top Tube Bag,Bento Box,false,Cargo
Child Seat,,false,Cargo
