flavor,families
,MTB (Mountain Biking)
,Road Biking
,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc."
,Cargo
,BMX
,DJ (Dirt Jumping)
,Track Racing
,Trials
Commuting (Around Town / Hybrid),
Bike Polo,
Fixed Gear Freestyle,
Gravel,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc."
Cyclocross,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc."
Bikepacking,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc. & MTB (Mountain Biking)"
Bike Touring,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc. & Road Biking"
Randonneuring,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc. & Road Biking"
All Road,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc. & Road Biking"
Monster Cross,"ATB (All Terrain Biking) — Gravel, Cyclocross, etc."
Triathalon,Road Biking
Time Trial,Road Biking & Track Racing
Criterium,Road Biking
Climbing,Road Biking
Aero,Road Biking
Endurance / Sportive,Road Biking
Trail / All-Mountain,MTB (Mountain Biking)
Cross-Country (XC),MTB (Mountain Biking)
Enduro,MTB (Mountain Biking)
Downhill,MTB (Mountain Biking)
Freeride,MTB (Mountain Biking)
Child Carrying,Cargo
Commercial,Cargo
Race,BMX
Freestyle,BMX
Flatland,BMX
Cruiser,BMX
Pursuit,Track Racing
Sprint,Track Racing
Keirin / NJS,Track Racing
Slopestyle,DJ (Dirt Jumping)
4X/Dual Slalom,DJ (Dirt Jumping)
Street Trials,Trials
Pure Trials,Trials
Artistic Cycling,
