name,slug,count,internal,standard
1,1,1,false,true
2,2,2,false,true
3,3,3,false,true
4,4,4,false,true
5,5,5,false,true
6,6,6,false,true
7,7,7,false,true
8,8,8,false,true
9,9,9,false,true
10,10,10,false,true
11,11,11,false,true
12,12,12,false,true
Fixed,fixed,1,false,false
1 internal,1-internal,1,true,
2 internal,2-internal,2,true,
3 internal,3-internal,3,true,
4 internal,4-internal,4,true,
5 internal,5-internal,5,true,
6 internal,6-internal,6,true,
7 internal,7-internal,7,true,
8 internal,8-internal,8,true,
9 internal,9-internal,9,true,
10 internal,10-internal,10,true,
11 internal,11-internal,11,true,
12 internal,12-internal,12,true,
13,13,13,false,true
14,14,14,false,true
13 internal,13-internal,13,true,false
14 internal,14-internal,14,true,false
Continuously variable,continuously-variable,0,true,true
